hmm,param,layer,seed,R2,target
Mess3,"a=0.005, x=0.02",0,0,0.9515073975258028,real
Mess3,"a=0.005, x=0.02",1,0,0.9779869904946298,real
Mess3,"a=0.005, x=0.02",2,0,0.9847106610328884,real
Mess3,"a=0.005, x=0.02",3,0,0.9855237612163212,real
Mess3,"a=0.005, x=0.02",4,0,0.9884552584551276,real
Mess3,"a=0.005, x=0.02",5,0,0.9867704844000116,real
Mess3,"a=0.005, x=0.02",6,0,0.9859722767771724,real
Mess3,"a=0.005, x=0.02",7,0,0.9808869455758238,real
Mess3,"a=0.005, x=0.02",8,0,0.974846904198339,real
Mess3,"a=0.005, x=0.02",9,0,0.9713484765516808,real
Mess3,"a=0.005, x=0.02",10,0,0.9692683544920592,real
Mess3,"a=0.005, x=0.02",11,0,0.967872234429894,real
Mess3,"a=0.005, x=0.02",12,0,0.969367473298482,real
Mess3,"a=0.005, x=0.02",13,0,0.9692154186519696,real
Mess3,"a=0.005, x=0.02",14,0,0.9713984122760304,real
Mess3,"a=0.005, x=0.02",15,0,0.9733672269057014,real
Mess3,"a=0.005, x=0.02",16,0,0.9729443464801542,real
Mess3,"a=0.005, x=0.02",17,0,0.9731683708020958,real
Mess3,"a=0.005, x=0.02",18,0,0.9738477907412512,real
Mess3,"a=0.005, x=0.02",19,0,0.9749710135158942,real
Mess3,"a=0.005, x=0.02",20,0,0.9754388852241714,real
Mess3,"a=0.005, x=0.02",21,0,0.9768880648245776,real
Mess3,"a=0.005, x=0.02",22,0,0.9770514073630046,real
Mess3,"a=0.005, x=0.02",23,0,0.977942162981284,real
Mess3,"a=0.005, x=0.02",24,0,0.9783011977381928,real
Mess3,"a=0.005, x=0.02",25,0,0.9795773532420038,real
Mess3,"a=0.005, x=0.02",26,0,0.9797288312112168,real
Mess3,"a=0.005, x=0.02",27,0,0.9798355792318232,real
Mess3,"a=0.005, x=0.02",0,1,0.9480404946365222,real
Mess3,"a=0.005, x=0.02",1,1,0.978691707290996,real
Mess3,"a=0.005, x=0.02",2,1,0.9864892686947216,real
Mess3,"a=0.005, x=0.02",3,1,0.9870956564402424,real
Mess3,"a=0.005, x=0.02",4,1,0.9874975551038208,real
Mess3,"a=0.005, x=0.02",5,1,0.986165443598876,real
Mess3,"a=0.005, x=0.02",6,1,0.9851223630198684,real
Mess3,"a=0.005, x=0.02",7,1,0.981186246789013,real
Mess3,"a=0.005, x=0.02",8,1,0.975025136479226,real
Mess3,"a=0.005, x=0.02",9,1,0.9706786232028436,real
Mess3,"a=0.005, x=0.02",10,1,0.9693704599295196,real
Mess3,"a=0.005, x=0.02",11,1,0.968226073130528,real
Mess3,"a=0.005, x=0.02",12,1,0.9692844009871068,real
Mess3,"a=0.005, x=0.02",13,1,0.9707209476179064,real
Mess3,"a=0.005, x=0.02",14,1,0.9737664779688546,real
Mess3,"a=0.005, x=0.02",15,1,0.9765598157004288,real
Mess3,"a=0.005, x=0.02",16,1,0.9776309924159812,real
Mess3,"a=0.005, x=0.02",17,1,0.977947257450865,real
Mess3,"a=0.005, x=0.02",18,1,0.9778250424577092,real
Mess3,"a=0.005, x=0.02",19,1,0.9784025185166684,real
Mess3,"a=0.005, x=0.02",20,1,0.9784254258258488,real
Mess3,"a=0.005, x=0.02",21,1,0.9796051864491157,real
Mess3,"a=0.005, x=0.02",22,1,0.9799305084738628,real
Mess3,"a=0.005, x=0.02",23,1,0.9803068032515928,real
Mess3,"a=0.005, x=0.02",24,1,0.9805761241751896,real
Mess3,"a=0.005, x=0.02",25,1,0.9809216104548673,real
Mess3,"a=0.005, x=0.02",26,1,0.9812360619871332,real
Mess3,"a=0.005, x=0.02",27,1,0.9813592258245016,real
Mess3,"a=0.005, x=0.02",0,2,0.9526167505669896,real
Mess3,"a=0.005, x=0.02",1,2,0.981901523137106,real
Mess3,"a=0.005, x=0.02",2,2,0.9862779098206798,real
Mess3,"a=0.005, x=0.02",3,2,0.9872662389041656,real
Mess3,"a=0.005, x=0.02",4,2,0.9890056444774472,real
Mess3,"a=0.005, x=0.02",5,2,0.9863115940510262,real
Mess3,"a=0.005, x=0.02",6,2,0.9866660808479144,real
Mess3,"a=0.005, x=0.02",7,2,0.9823396608021052,real
Mess3,"a=0.005, x=0.02",8,2,0.976762609221554,real
Mess3,"a=0.005, x=0.02",9,2,0.9745717121477449,real
Mess3,"a=0.005, x=0.02",10,2,0.9704913582444704,real
Mess3,"a=0.005, x=0.02",11,2,0.9682560446419636,real
Mess3,"a=0.005, x=0.02",12,2,0.9695804236532112,real
Mess3,"a=0.005, x=0.02",13,2,0.970366074165169,real
Mess3,"a=0.005, x=0.02",14,2,0.9726787083280312,real
Mess3,"a=0.005, x=0.02",15,2,0.9748616886031052,real
Mess3,"a=0.005, x=0.02",16,2,0.9751121663038892,real
Mess3,"a=0.005, x=0.02",17,2,0.9750797893629845,real
Mess3,"a=0.005, x=0.02",18,2,0.9764953602932148,real
Mess3,"a=0.005, x=0.02",19,2,0.9776206207699836,real
Mess3,"a=0.005, x=0.02",20,2,0.97785839958464,real
Mess3,"a=0.005, x=0.02",21,2,0.9801090336104517,real
Mess3,"a=0.005, x=0.02",22,2,0.9803570480752412,real
Mess3,"a=0.005, x=0.02",23,2,0.9808422133686748,real
Mess3,"a=0.005, x=0.02",24,2,0.9813927657486506,real
Mess3,"a=0.005, x=0.02",25,2,0.9815603092855814,real
Mess3,"a=0.005, x=0.02",26,2,0.9818564438309272,real
Mess3,"a=0.005, x=0.02",27,2,0.9824931816375192,real
Mess3,"a=0.005, x=0.02",0,3,0.9489202302154902,real
Mess3,"a=0.005, x=0.02",1,3,0.9804015826364156,real
Mess3,"a=0.005, x=0.02",2,3,0.984636620025904,real
Mess3,"a=0.005, x=0.02",3,3,0.9879976367289997,real
Mess3,"a=0.005, x=0.02",4,3,0.9896528956171856,real
Mess3,"a=0.005, x=0.02",5,3,0.9871121240688856,real
Mess3,"a=0.005, x=0.02",6,3,0.9854213239508812,real
Mess3,"a=0.005, x=0.02",7,3,0.9821052349919596,real
Mess3,"a=0.005, x=0.02",8,3,0.9749592573226056,real
Mess3,"a=0.005, x=0.02",9,3,0.971535405626784,real
Mess3,"a=0.005, x=0.02",10,3,0.9702374311345622,real
Mess3,"a=0.005, x=0.02",11,3,0.9682431386349792,real
Mess3,"a=0.005, x=0.02",12,3,0.9696894287291716,real
Mess3,"a=0.005, x=0.02",13,3,0.9697452689469204,real
Mess3,"a=0.005, x=0.02",14,3,0.9711350768621234,real
Mess3,"a=0.005, x=0.02",15,3,0.973987964760506,real
Mess3,"a=0.005, x=0.02",16,3,0.974871185445488,real
Mess3,"a=0.005, x=0.02",17,3,0.9747636326472644,real
Mess3,"a=0.005, x=0.02",18,3,0.974957053834023,real
Mess3,"a=0.005, x=0.02",19,3,0.9761619873221192,real
Mess3,"a=0.005, x=0.02",20,3,0.9766162408309892,real
Mess3,"a=0.005, x=0.02",21,3,0.9773280526596432,real
Mess3,"a=0.005, x=0.02",22,3,0.9775770017586825,real
Mess3,"a=0.005, x=0.02",23,3,0.9780168371650948,real
Mess3,"a=0.005, x=0.02",24,3,0.9785467518787742,real
Mess3,"a=0.005, x=0.02",25,3,0.9790708351553464,real
Mess3,"a=0.005, x=0.02",26,3,0.9792659670820598,real
Mess3,"a=0.005, x=0.02",27,3,0.9788278354754804,real
Mess3,"a=0.005, x=0.02",0,4,0.9468704568885512,real
Mess3,"a=0.005, x=0.02",1,4,0.978543617860478,real
Mess3,"a=0.005, x=0.02",2,4,0.9838254314169886,real
Mess3,"a=0.005, x=0.02",3,4,0.9853699114082104,real
Mess3,"a=0.005, x=0.02",4,4,0.986945580815311,real
Mess3,"a=0.005, x=0.02",5,4,0.9854456371995658,real
Mess3,"a=0.005, x=0.02",6,4,0.9827405385657698,real
Mess3,"a=0.005, x=0.02",7,4,0.977919295838934,real
Mess3,"a=0.005, x=0.02",8,4,0.9722451784694917,real
Mess3,"a=0.005, x=0.02",9,4,0.969057437905043,real
Mess3,"a=0.005, x=0.02",10,4,0.965503820594873,real
Mess3,"a=0.005, x=0.02",11,4,0.9667477799031056,real
Mess3,"a=0.005, x=0.02",12,4,0.9669525164205016,real
Mess3,"a=0.005, x=0.02",13,4,0.9695852153200416,real
Mess3,"a=0.005, x=0.02",14,4,0.9710298298800104,real
Mess3,"a=0.005, x=0.02",15,4,0.9735811790389992,real
Mess3,"a=0.005, x=0.02",16,4,0.9750484638088152,real
Mess3,"a=0.005, x=0.02",17,4,0.9743612414604574,real
Mess3,"a=0.005, x=0.02",18,4,0.973394659965968,real
Mess3,"a=0.005, x=0.02",19,4,0.9741241687612978,real
Mess3,"a=0.005, x=0.02",20,4,0.975330247296514,real
Mess3,"a=0.005, x=0.02",21,4,0.9767427960149656,real
Mess3,"a=0.005, x=0.02",22,4,0.9774337089437232,real
Mess3,"a=0.005, x=0.02",23,4,0.9779974939354484,real
Mess3,"a=0.005, x=0.02",24,4,0.9779122757131736,real
Mess3,"a=0.005, x=0.02",25,4,0.977954876103658,real
Mess3,"a=0.005, x=0.02",26,4,0.9778574454787556,real
Mess3,"a=0.005, x=0.02",27,4,0.97871266248879,real
Mess3,"a=0.005, x=0.02",0,5,0.9540178037909286,real
Mess3,"a=0.005, x=0.02",1,5,0.9809206156247448,real
Mess3,"a=0.005, x=0.02",2,5,0.9860081656229532,real
